veh,nRIDES,nREJECTED,DRIVING_TIME,DRIVING_DIST,COMMISSION,REVENUE,COST,NET_INCOME,OUT,STARTS_DAY,OPENS_APP,RECEIVES_REQUEST,ACCEPTS_REQUEST,REJECTS_REQUEST,IS_ACCEPTED_BY_TRAVELLER,IS_REJECTED_BY_TRAVELLER,ARRIVES_AT_PICKUP,MEETS_TRAVELLER_AT_PICKUP,DEPARTS_FROM_PICKUP,ARRIVES_AT_DROPOFF,CONTINUES_SHIFT,STARTS_REPOSITIONING,REPOSITIONED,DECIDES_NOT_TO_DRIVE,ENDS_SHIFT,worked_days,experienced,perc_income,learned,util_d,util_nd,prob_d,drive_decision,day
8,11.0,0.0,4816.0,48.160000000000004,5.80748,52.26732,12.040000000000001,40.22732,False,0,1671.0,150.0,200.0,0,1515.0,0,0.0,330.0,3301.0,14432.0,0,0,0,0,0,2,False,35.3416088143225,False,3.53416088143225,3.8817992885934958,0.41395521809671176,drive,2
9,18.0,0.0,8348.0,83.48,9.48416,85.35743999999998,20.87,64.48743999999998,False,0,17.0,225.0,305.0,0,3070.0,0,15.0,540.0,5278.0,12149.0,0,0,0,0,0,2,False,51.64115177400188,False,5.164115177400188,1.9154030644011322,0.9626268066653674,drive,2
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,40.845570806194495,False,4.08455708061945,3.9935221612389,0.5227430253841246,out,2
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,36.196845654869115,False,3.619684565486912,5.557543130973823,0.1258833041799286,out,2
12,16.0,0.0,6986.0,69.86,8.62764,77.64876,17.465,60.18375999999999,False,0,834.0,150.0,220.0,0,2038.0,0,0.0,480.0,4948.0,12929.0,0,0,0,0,0,2,False,49.776977696730114,False,4.977697769673012,3.167930618038072,0.8593337300803362,out,2
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,46.45980968378818,False,4.645980968378818,4.769255936757637,0.46922022732958624,drive,2
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,24.428430237844964,False,2.4428430237844965,2.716668047568993,0.43196829934152875,drive,2
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,42.993590002884275,False,4.299359000288428,2.927294001153708,0.7977135803730044,drive,2
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,21.952179450450743,False,2.195217945045074,4.390435890090148,0.1001807419185836,out,2
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,52.76495110001742,False,5.2764951100017425,7.543338440006969,0.09390646300373576,out,2
18,14.0,0.0,6419.0,64.19,6.582800000000001,59.245200000000004,16.0475,43.197700000000005,False,0,177.0,165.0,240.0,0,2376.0,0,0.0,420.0,4043.0,14178.0,0,0,0,0,0,1,False,43.92093091840913,False,4.392093091840913,4.64304836736365,0.43758838723216287,drive,2
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,33.044904359914675,False,3.3044904359914677,5.281818871982935,0.12160391639386581,out,2
20,16.0,0.0,7204.0,72.04,7.91308,71.21772,18.01,53.207719999999995,False,0,1026.0,225.0,300.0,0,2724.0,0,0.0,480.0,4480.0,12364.0,0,0,0,0,0,2,False,51.957778250839745,False,5.195777825083975,3.3633369505038475,0.8620522477616264,drive,2
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,49.798102069339095,False,4.97981020693391,5.132956827735639,0.46178800061607705,out,3
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,30.495735579913955,False,3.049573557991396,2.9518691159827917,0.5244066977411779,drive,3
3,14.0,0.0,6189.0,61.89,7.083160000000001,63.74844000000001,15.4725,48.275940000000006,False,0,177.0,195.0,260.0,0,2237.0,0,0.0,420.0,3952.0,14358.0,0,0,0,0,0,3,False,44.334594528008694,False,4.43345945280087,3.748193622406953,0.6649129610016302,out,3
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,52.844707315954494,False,5.28447073159545,5.3192529263818,0.4913053278543801,out,3
5,17.0,0.0,7925.0,79.25,8.74328,78.68952,19.8125,58.87702,False,0,401.0,225.0,300.0,0,2766.0,0,0.0,510.0,5159.0,12238.0,0,0,0,0,0,2,False,50.782091854185595,False,5.07820918541856,4.965943112511357,0.5280370769026721,out,3
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,False,49.94021039578999,False,4.994021039579,4.540186158315999,0.6115506235208092,drive,3
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,False,53.69287163653502,False,5.369287163653502,4.199788981921007,0.7630542977386128,drive,3
8,17.0,0.0,7477.0,74.77,8.32272,74.90447999999999,18.6925,56.21198,False,0,1038.0,180.0,240.0,0,2881.0,0,20.0,510.0,4596.0,12134.0,0,0,0,0,0,3,False,40.55920161074187,False,4.055920161074187,3.8817992885934958,0.5434205711568261,out,3
9,15.0,0.0,7674.0,76.74,8.84562,79.61058,19.185,60.42558,False,0,17.0,180.0,245.0,0,2600.0,0,15.0,450.0,5074.0,13018.0,0,0,0,0,0,3,False,53.837258830501405,False,5.383725883050141,1.9154030644011322,0.96977289329513,drive,3
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,40.845570806194495,False,4.08455708061945,3.9935221612389,0.5227430253841246,drive,3
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,False,36.196845654869115,False,3.619684565486912,5.557543130973823,0.1258833041799286,out,3
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,False,49.776977696730114,False,4.977697769673012,3.167930618038072,0.8593337300803362,drive,3
13,17.0,0.0,7954.0,79.54,9.31,83.78999999999999,19.885,63.90499999999999,False,0,50.0,210.0,300.0,0,2820.0,0,0.0,510.0,5134.0,12575.0,0,0,0,0,0,1,False,55.18240484189408,False,5.518240484189409,4.769255936757637,0.6789573968980002,drive,3
